"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00051772","COLORADO NATIONAL MONUMENT, CO US","39.1013","-108.7338","1762.0","2018-07","35.9","3,,,7","19.8","3,,,7"
"US1UTBV0001","BEAVER 0.8 E, UT US","38.2779","-112.6244","1822.7","2018-07",,,,
"USC00423012","FREMONT INDIAN S.P., UT US","38.5777","-112.3347","1804.4","2018-07","33.0",",,,7","12.3",",,,7"
"USC00424342","JENSEN, UT US","40.361","-109.3463","1443.5","2018-07","35.4",",,,7","14.1",",,,7"
"US1AZPM0118","TUCSON 10.3 SE, AZ US","32.1169","-110.7936","890.0","2018-07",,,,
"US1AZPM0112","TUCSON 14.5 NNW, AZ US","32.4223","-110.9843","844.3","2018-07",,,,
"US1AZPM0111","TUCSON 10.5 ESE, AZ US","32.139","-110.7674","886.1","2018-07",,,,
"USC00028904","TUZIGOOT, AZ US","34.7705","-112.0263","1057.7","2018-07","38.8","3,,,7","20.2","3,,,7"
"USC00427846","SILVER LAKE BRIGHTON, UT US","40.6008","-111.5842","2664.0","2018-07","24.3","3,,,7","9.9","3,,,7"
"US1COMZ0060","CORTEZ 1.1 ENE, CO US","37.3584","-108.5586","1882.1","2018-07",,,,
"US1AZPM0113","SAHUARITA 3.3 SW, AZ US","31.9202","-110.9941","889.1","2018-07",,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","33.62278","-111.91056","449.0","2018-07","40.9",",,,W","28.6",",,,W"
"USW00093069","CORTEZ MONTEZUMA CO AIRPORT, CO US","37.30694","-108.62639","1801.4","2018-07","33.9",",,,W","13.4",",,,W"
"US1COMZ0066","DOLORES 2.5 W, CO US","37.4727","-108.543","2155.9","2018-07",,,,
"USS0010J55S","SPIRIT LK, UT US","40.84","-110.01","3119.6","2018-07","20.3",",,,T","5.3",",,,T"
"USR0000CMES","MESA MOUNTAIN COLORADO, CO US","37.055","-107.7069","2249.4","2018-07","30.9",",,,U","15.7",",,,U"
"US1CODN0269","DENVER 6.7 NE, CO US","39.8034","-104.8837","1599.9","2018-07",,,,
"USW00093063","SILVER CITY GRANT CO AIRPORT, NM US","32.63333","-108.16667","1637.7","2018-07","31.8",",,,H","17.4",",,,H"
"US1COLR0676","LOVELAND 2.4 NW, CO US","40.442","-105.1067","1553.9","2018-07",,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","39.57028","-104.84889","1793.1","2018-07","31.1",",,,W","15.1",",,,W"
"USW00003184","PHOENIX DEER VALLEY MUNICIPAL AIRPORT, AZ US","33.68833","-112.08167","443.5","2018-07","40.6",",,,W","27.7",",,,W"
"US1CODN0264","DENVER 2.1 ENE, CO US","39.735","-104.9226","1633.4","2018-07",,,,
"US1CODN0261","DENVER 3.2 SSW, CO US","39.6847","-104.9832","1612.7","2018-07",,,,
"US1COLR0672","VIRGINIA DALE 7.2 SSW, CO US","40.8521","-105.3998","2048.9","2018-07",,,,
"USC00059243","WRAY, CO US","40.0715","-102.2329","1099.4","2018-07","31.8",",,,7","16.5",",,,7"
"US1CODN0262","DENVER 3.4 S, CO US","39.6795","-104.966","1630.4","2018-07",,,,
"US1COSU0035","SILVERTHORNE 21 NW, CO US","39.9024","-106.305","2485.9","2018-07",,,,
"US1AZPM0109","SAHUARITA 2.6 WNW, AZ US","31.9607","-110.9919","874.2","2018-07",,,,
"USC00422173","DINOSAUR NM QUARRY AREA, UT US","40.4384","-109.307","1463.6","2018-07","36.6","1,,,7","17.3","1,,,7"
"US1AZPM0108","TUCSON 4.1 N, AZ US","32.2785","-110.9303","719.9","2018-07",,,,
"US1COSU0039","BRECKENRIDGE 0.9 NNE, CO US","39.52","-106.0412","2909.0","2018-07",,,,
"US1AZPM0105","GREEN VALLEY 3.2 SW, AZ US","31.812","-111.016","915.0","2018-07",,,,
"US1COWE0250","FCL 7.9 ENE, CO US","40.5949","-104.9282","1563.3","2018-07",,,,
"US1AZPM0101","ORO VALLEY 1.3 W, AZ US","32.3933","-110.9819","759.6","2018-07",,,,
"USC00026716","PORTAL 4 SW, AZ US","31.8834","-109.2056","1642.9","2018-07","31.0",",,,7","14.8",",,,7"
"US1AZPM0103","TUCSON 3.0 WNW, AZ US","32.2403","-110.9648","730.9","2018-07",,,,
"US1AZMR0157","CHANDLER 6.6 SE, AZ US","33.2213","-111.7756","385.6","2018-07",,,,
"USW00093058","PUEBLO MEMORIAL AIRPORT, CO US","38.2901","-104.4983","1438.7","2018-07","34.6",",,,W","17.5",",,,W"
"USC00024534","KARTCHNER CAVERNS, AZ US","31.8352","-110.3552","1429.5","2018-07","33.2",",,,7","18.6",",,,7"
"US1COMZ0058","DOLORES 4.0 SSW, CO US","37.4217","-108.5268","2035.8","2018-07",,,,
"USS0008P03S","RICE PARK, NM US","35.23","-108.27","2578.6","2018-07","25.8",",,,T","11.1",",,,T"
"USS0005M17S","UTE CREEK, CO US","37.61","-105.37","3246.1","2018-07","20.2",",,,T","6.1",",,,T"
"US1CODN0259","DENVER 4.3 WNW, CO US","39.7606","-105.0316","1639.2","2018-07",,,,
"US1CODN0255","DENVER 0.5 NE, CO US","39.7326","-104.9555","1644.4","2018-07",,,,
"USR0000ABUC","BUCKSKIN MOUNTAIN ARIZONA, AZ US","36.9306","-112.1997","1950.7","2018-07","32.6",",,,U","15.1",",,,U"
"USC00424321","JARVIE RANCH, UT US","40.8991","-109.1788","1662.4","2018-07","34.0",",,,7","13.4",",,,7"
"USC00296275","OCATE 2 NW, NM US","36.1838","-105.0608","2333.2","2018-07","28.0",",,,7","10.7",",,,7"
"US1CORB0025","RANGELY 0.6 NNE, CO US","40.0945","-108.773","1598.7","2018-07",,,,
"US1COMZ0043","CORTEZ 2.3 NW, CO US","37.3712","-108.6122","1887.0","2018-07",,,,
"USW00093084","SAFFORD MUNICIPAL AIRPORT, AZ US","32.85472","-109.63528","968.0","2018-07","38.4","1,,,W","23.7","1,,,W"
"USS0005M16S","MEDANO PASS, CO US","37.85","-105.44","2941.0","2018-07","22.8",",,,T","8.0",",,,T"
"USC00290983","BINGHAM 2 NE, NM US","33.9113","-106.3494","1691.9","2018-07","32.2",",,,7","16.9",",,,7"
"US1COLR0653","FORT COLLINS 3.4 N, CO US","40.6051","-105.0638","1516.1","2018-07",,,,
"USR0000CDRA","DRAGON ROAD COLORADO, CO US","39.9153","-108.8875","1920.2","2018-07","33.2",",,,U","17.4",",,,U"
"USC00059265","YAMPA, CO US","40.1561","-106.9091","2394.8","2018-07","28.7",",,,7","8.6",",,,7"
"USC00051784","COLORADO SPRINGS FIRE STATION 20, CO US","38.92944","-104.75278","2047.6","2018-07",,,,
"US1AZMR0170","GOODYEAR 5.9 WSW, AZ US","33.4066","-112.4485","276.1","2018-07",,,,
"USC00050454","BAILEY, CO US","39.4052","-105.4765","2362.8","2018-07","27.1",",,,7","7.4",",,,7"
