"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1COPH0014","HOLYOKE .59 SW, CO US","40.5784","-102.3103","1142.1","2018-07",,,,
"USC00050848","BOULDER, CO US","39.9919","-105.2667","1671.5","2018-07","31.2",",,,7","13.8",",,,7"
"USC00298085","SANTA FE 2, NM US","35.6194","-105.9753","2059.2","2018-07","30.6",",,,7","13.4",",,,7"
"USS0007M11S","SPUD MOUNTAIN, CO US","37.7","-107.78","3249.2","2018-07","21.0",",,,T","8.6",",,,T"
"USC00422558","ENTERPRISE, UT US","37.5764","-113.715","1621.5","2018-07","33.5",",,,7","16.3",",,,7"
"USS0006K14S","SUMMIT RANCH, CO US","39.72","-106.16","2865.1","2018-07","24.4",",,,T","5.9",",,,T"
"USS0006J29S","TOWER, CO US","40.54","-106.68","3200.4","2018-07","20.0",",,,T","9.6",",,,T"
"USR0000ACAA","CARR ARIZONA, AZ US","31.445","-110.28","1645.9","2018-07","32.0",",,,U","18.7",",,,U"
"USC00426919","PLEASANT GROVE, UT US","40.36787","-111.73344","1430.1","2018-07","35.6",",,,7","19.9",",,,7"
"USC00291450","CAPULIN, NM US","36.7386","-103.9935","2084.8","2018-07","29.0",",,,7","11.9",",,,7"
"USC00294960","LINDRITH 1 WSW, NM US","36.3041","-107.0541","2200.7","2018-07","30.8","2,,,7","12.4","2,,,7"
"USC00292785","EL MORRO NATIONAL MON, NM US","35.038","-108.3491","2201.6","2018-07","29.4",",,,7","11.8",",,,7"
"USC00058793","WALSH 1 W, CO US","37.3822","-102.2986","1212.5","2018-07","34.5",",,,7","16.9",",,,7"
"USC00056131","ORDWAY 1 ENE, CO US","38.22113","-103.73218","1314.3","2018-07","34.2",",,,7","16.9",",,,7"
"USC00298088","SANTA FE SETON, NM US","35.6008","-105.9322","2133.6","2018-07","30.2",",,,7","14.5",",,,7"
"US1NMSM0006","LAS VEGAS 1.6 NNW, NM US","35.6198","-105.2342","2003.5","2018-07",,,,
"USS0009N05S","BEAVER SPRING, AZ US","36.33","-109.06","2804.2","2018-07","24.1",",,,T","12.4",",,,T"
"USC00050839","BOONE 9 NNW, CO US","38.3719","-104.30579","1461.2","2018-07",,,,
"USC00421240","CASTLE VALLEY 1 SE, UT US","38.6225","-109.3916","1495.0","2018-07","37.2","2,,,7","21.2","2,,,7"
"US1COBO0110","NEDERLAND 4.8 ENE, CO US","39.9771","-105.4253","2588.1","2018-07",,,,
"USS0012K02S","OAK CREEK, UT US","39.35","-112.33","2392.7","2018-07","28.1",",,,T","18.3",",,,T"
"USC00026796","PRESCOTT, AZ US","34.5706","-112.4322","1586.5","2018-07","32.3",",,,7","16.5",",,,7"
"US1NMVL0037","PERALTA 0.6 S, NM US","34.8217","-106.6852","1481.6","2018-07",,,,
"USS0005J06S","DEADMAN HILL, CO US","40.81","-105.77","3115.1","2018-07","20.3",",,,T","5.7","1,,,T"
"US1NMVL0030","RIO COMMUNITIES 0.5 N, NM US","34.6509","-106.7194","1503.0","2018-07",,,,
"USS0007M14S","MINERAL CREEK, CO US","37.85","-107.73","3060.2","2018-07","22.0","1,,,T","5.5","1,,,T"
"US1COPH0037","HAXTUN 0.2 N, CO US","40.6455","-102.6284","1229.9","2018-07",,,,
"USC00058345","TOWNER, CO US","38.4702","-102.0829","1197.3","2018-07",,,,
"US1AZCN0092","FLAGSTAFF 8.2 NE, AZ US","35.268","-111.5414","2041.9","2018-07",,,,
"USC00051713","COCHETOPA CREEK, CO US","38.4461","-106.7611","2439.0","2018-07","27.9",",,,7","7.8",",,,7"
"USC00057020","RIDGWAY, CO US","38.1499","-107.7583","2148.5","2018-07","32.6",",,,7","9.3",",,,7"
"US1AZMR0103","SUN CITY 1.2 NNW, AZ US","33.6321","-112.2903","365.2","2018-07",,,,
"USS0006K16S","BUCKSKIN JOE, CO US","39.3","-106.11","3398.5","2018-07","20.6",",,,T","6.3",",,,T"
"US1NMMR0003","OCATE 3.7 WNW, NM US","36.198","-105.1097","2314.0","2018-07",,,,
"US1COOT0006","CHERAW .15 NNE, CO US","38.109","-103.5092","1263.1","2018-07",,,,
"US1NMVL0026","BELEN 1.0 NNE, NM US","34.672","-106.7713","1468.5","2018-07",,,,
"US1NMVL0027","LOS LUNAS 3.5 E, NM US","34.8084","-106.6766","1479.8","2018-07",,,,
"US1NMVL0025","BELEN 9.3 SE, NM US","34.5731","-106.6518","1546.3","2018-07",,,,
"USS0005J05S","WILD BASIN, CO US","40.2","-105.6","2913.9","2018-07","23.5",",,,T","7.9",",,,T"
"USR0000BRYC","BRYCE CANYON UTAH, UT US","37.6417","-112.1722","2394.2","2018-07","27.6",",,,U","9.6",",,,U"
"USC00421214","CASTLE DALE, UT US","39.2077","-111.0125","1715.7","2018-07","34.4",",,,7","14.1",",,,7"
"US1NMVL0023","BELEN 5.1 SSE, NM US","34.5922","-106.7421","1464.9","2018-07",,,,
"US1NMVL0021","BOSQUE FARMS 1.0 N, NM US","34.8695","-106.7015","1485.0","2018-07",,,,
"USR0000BRYS","BRYSON CANYON UTAH, UT US","39.2933","-109.2372","1621.5","2018-07","36.1",",,,U","20.2",",,,U"
"USC00027625","SASABE 6 NNE, AZ US","31.5716","-111.5055","1065.3","2018-07",,,,
"USS0006L02S","PARK CONE, CO US","38.82","-106.59","2926.1","2018-07","24.4",",,,T","5.7",",,,T"
"USC00027622","SASABE 7 NW, AZ US","31.6036","-111.6022","1165.9","2018-07",,,,
"US1COBO0137","LYONS 1.8 N, CO US","40.2494","-105.2646","1975.1","2018-07",,,,
"USS0010J12S","LAKEFORK NUMBER 3, UT US","40.55","-110.35","2579.8","2018-07","26.1",",,,T","11.5",",,,T"
"US1COBO0135","BOULDER 5.4 ESE, CO US","39.9873","-105.1703","1681.0","2018-07",,,,
"US1COJF0001","DENVER 11.0 SSW, CO US","39.5884","-105.075","1692.9","2018-07",,,,
"US1COJF0003","DENVER 6.1 WSW, CO US","39.7005","-105.0985","1699.0","2018-07",,,,
"USS0007J05S","RIPPLE CREEK, CO US","40.11","-107.29","3151.6","2018-07","22.1",",,,T","9.6","1,,,T"
"USS0011P13S","FRY, AZ US","35.07","-111.84","2194.6","2018-07","27.1",",,,T","12.1",",,,T"
"US1COEP0258","COLORADO SPRINGS 7.0 NNW, CO US","38.932","-104.8558","2039.1","2018-07",,,,
"USC00293142","FARMINGTON AG SCIENCE CNT, NM US","36.6897","-108.3086","1714.5","2018-07","34.1",",,,7","18.8",",,,7"
"US1COBO0380","BOULDER 2.0 W, CO US","40.0239","-105.2893","1657.8","2018-07",,,,
"US1COJF0475","ARVADA 0.4 ESE, CO US","39.8193","-105.0999","1678.8","2018-07",,,,
"US1COJF0474","ARVADA 2.7 NE, CO US","39.849","-105.0706","1660.2","2018-07",,,,
"USC00055402","MARSTON FILTER PLANT, CO US","39.6211","-105.0655","1709.9","2018-07","30.6","1,,,7","15.8","1,,,7"
"US1COJF0473","LAKEWOOD 1.3 NW, CO US","39.7069","-105.1338","1764.5","2018-07",,,,
"USS0008L02S","COLUMBINE PASS, CO US","38.42","-108.38","2865.1","2018-07","25.2",",,,T","11.3",",,,T"
"USS0006K10S","IVANHOE, CO US","39.29","-106.55","3169.9","2018-07","22.5",",,,T","7.0",",,,T"
"US1NMSN0113","BERNALILLO 0.9 WSW, NM US","35.3115","-106.5714","1545.6","2018-07",,,,
"USC00294009","HILLSBORO, NM US","32.9202","-107.5656","1605.4","2018-07","32.9",",,,7","17.1",",,,7"
"US1COJF0471","ARVADA 1.8 NE, CO US","39.836","-105.0792","1677.3","2018-07",,,,
"US1COJF0470","EVERGREEN 5.4 NNW, CO US","39.704","-105.3854","2356.1","2018-07",,,,
"USR0000VERN","VERNON VERNON 10 N UTAH, UT US","40.0989","-112.4269","1676.4","2018-07","34.9",",,,U","15.2",",,,U"
"US1COLR0075","FORT COLLINS 2.8 WSW, CO US","40.5538","-105.1289","1567.0","2018-07",,,,
"USC00423980","HITE RANGER STATION, UT US","37.875","-110.3878","1219.2","2018-07","38.4",",,,7","26.6",",,,7"
"USC00020775","BISBEE 1 WNW, AZ US","31.4475","-109.9288","1694.7","2018-07","31.2","2,,,7","17.9","2,,,7"
"US1NMDA0173","LAS CRUCES 5.8 SSE, NM US","32.26","-106.7131","1250.9","2018-07",,,,
"USR0000CBDR","SUGARLOAF COLORADO, CO US","40.0181","-105.3614","2052.2","2018-07","28.0",",,,U","14.2",",,,U"
"USS0005J42S","NIWOT, CO US","40.04","-105.54","3020.6","2018-07","21.1",",,,T","5.8",",,,T"
"USC00056765","PUEBLO RESERVOIR, CO US","38.25971","-104.71784","1481.6","2018-07","33.9",",,,7","17.5",",,,7"
"US1COJF0026","DENVER 10.3 WNW, CO US","39.8153","-105.1533","1688.0","2018-07",,,,
"USC00051071","BUENA VISTA 2 S, CO US","38.8246","-106.1276","2421.9","2018-07","30.2",",,,7","10.3",",,,7"
"USC00057618","SHOSHONE, CO US","39.5703","-107.2267","1826.4","2018-07","34.3",",,,7","17.1",",,,7"
"US1COEP0234","COLORADO SPRINGS 7.0 NNE, CO US","38.9438","-104.7816","2019.9","2018-07",,,,
"USR0000AUNI","UNION PASS ARIZONA, AZ US","35.2247","-114.3747","1072.9","2018-07","36.1",",,,U","25.7",",,,U"
"US1COEP0235","MONUMENT 6.6 ENE, CO US","39.1184","-104.7516","2250.0","2018-07",,,,
"USC00053258","GENOA, CO US","39.2774","-103.4958","1709.3","2018-07",,,,
"US1COLR0050","LYONS 4.8 N, CO US","40.2934","-105.2692","1712.1","2018-07",,,,
"USS0006J27S","NEVER SUMMER, CO US","40.4","-105.96","3133.3","2018-07","20.8",",,,T","4.3","1,,,T"
"USR0000AHUM","HUMBUG CREEK ARIZONA, AZ US","34.1164","-112.3006","1600.2","2018-07","31.9",",,,U","21.1",",,,U"
"USS0005J41S","LAKE ELDORA, CO US","39.94","-105.59","2956.6","2018-07","22.0",",,,T","10.4",",,,T"
"USR0000AHUR","HURRICANE ARIZONA, AZ US","36.6992","-113.2072","1659.6","2018-07","33.5",",,,U","19.7",",,,U"
"US1NMSN0109","BERNALILLO 1.8 NE, NM US","35.3306","-106.5302","1554.5","2018-07",,,,
"USC00027398","SAGUARO NATIONAL PARK, AZ US","32.1794","-110.7363","938.8","2018-07","37.0",",,,7","22.8",",,,7"
"USC00027390","SAFFORD AGRICULTURAL CENTER, AZ US","32.815","-109.6808","900.4","2018-07","37.7",",,,7","22.2",",,,7"
"USC00051060","BUCKHORN MOUNTAIN 1 E, CO US","40.6158","-105.2969","2255.5","2018-07","26.1",",,,7","12.4",",,,7"
"USS0006K12S","MIDDLE FORK CAMP, CO US","39.8","-106.03","2724.9","2018-07","26.9",",,,T","5.4",",,,T"
"USC00294461","KELLY RANCH, NM US","34.0311","-107.125","2041.9","2018-07",,,,
"USC00053246","GATEWAY 1 ENE, CO US","38.68778","-108.9609","1423.7","2018-07","37.5",",,,7","18.4",",,,7"
"USC00058931","WESTCLIFFE, CO US","38.1311","-105.4661","2395.7","2018-07","29.2",",,,7","8.9",",,,7"
"US1COLR0061","MASONVILLE 3.4 NW, CO US","40.5205","-105.2564","1767.8","2018-07",,,,
"US1NMDA0195","LAS CRUCES 5.4 S, NM US","32.2582","-106.7643","1180.5","2018-07",,,,
"US1NMDA0198","WHITE SANDS 0.6 E, NM US","32.3828","-106.4828","1296.6","2018-07",,,,
"USC00020750","BETATAKIN, AZ US","36.6778","-110.5411","2220.8","2018-07","30.5",",,,7","15.7",",,,7"
"US1NMBR0123","ALBUQUERQUE 3.7 SSE, NM US","35.0685","-106.5956","1608.1","2018-07",,,,
"USS0005J40S","WILLOW PARK, CO US","40.43","-105.73","3261.4","2018-07","18.8",",,,T","4.5",",,,T"
"US1NMBR0124","ALBUQUERQUE 8.3 ENE, NM US","35.1608","-106.488","1874.2","2018-07",,,,
"US1NMBR0122","ALBUQUERQUE 8.2 ENE, NM US","35.1534","-106.4871","1872.1","2018-07",,,,
"US1NMBR0142","SANDIA PARK 3.7 ESE, NM US","35.1537","-106.2848","2118.4","2018-07",,,,
"US1COEP0291","COLORADO SPRINGS 8.2 SE, CO US","38.7425","-104.7251","1748.0","2018-07",,,,
"US1COPW0034","LAMAR 2.9 S, CO US","38.0396","-102.6075","1140.9","2018-07",,,,
"USS0006J20S","RAWAH, CO US","40.71","-106.01","2749.3","2018-07","23.5",",,,T","9.7","1,,,T"
"US1COPK0069","BAILEY 6.4 NNW, CO US","39.4905","-105.5239","2680.1","2018-07",,,,
"US1COPK0067","GUFFEY 5.5 W, CO US","38.7487","-105.6236","2897.1","2018-07",,,,
"US1NMDA0125","LAS CRUCES 4.2 SSE, NM US","32.2788","-106.7331","1229.9","2018-07",,,,
"US1COGN0058","POWDERHORN 4.4 NNE, CO US","38.3401","-107.0943","2763.0","2018-07",,,,
"USR0000JOES","JOES VALLEY UTAH, UT US","39.3094","-111.3228","2651.8","2018-07","25.5",",,,U","15.1",",,,U"
"USC00292250","CUBERO, NM US","35.0883","-107.5177","1888.2","2018-07","33.2",",,,7","15.4",",,,7"
"US1COLP0020","DURANGO 10 NNE, CO US","37.4123","-107.8284","2018.1","2018-07",,,,
"USS0011H60S","USU DOC DANIEL, UT US","41.86","-111.51","2520.7","2018-07","24.4",",,,T","11.9",",,,T"
"US1NMGR0061","MIMBRES 7.2 NNW, NM US","32.9543","-108.0236","1930.3","2018-07",,,,
"US1NMGR0062","GILA HOT SPRINGS 0.2 SE, NM US","33.1936","-108.2041","1750.2","2018-07",,,,
"USR0000CBAI","BAILEY COLORADO, CO US","39.3794","-105.3394","2420.1","2018-07","27.3",",,,U","12.1",",,,U"
"US1UTSL0113","MURRAY 1.1 NW, UT US","40.6632","-111.907","1294.5","2018-07",,,,
"US1NMSF0001","SANTA FE 7.7 WNW, NM US","35.7368","-106.0718","1984.9","2018-07",,,,
"US1NMBR0138","ALBUQUERQUE 4.7 E, NM US","35.1114","-106.5416","1662.1","2018-07",,,,
"USC00296619","PASAMONTE, NM US","36.2994","-103.7408","1722.1","2018-07","31.7",",,,7","12.9",",,,7"
"US1NMBR0139","ALBUQUERQUE 3.5 NNE, NM US","35.1654","-106.6064","1547.8","2018-07",,,,
"US1NMBR0136","ALBUQUERQUE 8.1 ENE, NM US","35.1511","-106.4876","1870.3","2018-07",,,,
"US1NMGR0068","SILVER CITY 2.2 NNE, NM US","32.8142","-108.2575","1911.7","2018-07",,,,
"US1NMGR0065","SILVER CITY 0.5 N, NM US","32.7902","-108.267","1829.4","2018-07",,,,
"US1NMGR0066","SILVER CITY 0.8 S, NM US","32.771","-108.2686","1811.7","2018-07",,,,
"US1NMGR0064","MIMBRES 8.4 NNW, NM US","32.9677","-108.0397","1972.1","2018-07",,,,
"US1COPW0025","TWO BUTTES 10.0 NNW, CO US","37.6944","-102.4656","1286.0","2018-07",,,,
"US1NMBR0152","ALBUQUERQUE 2.9 W, NM US","35.1233","-106.6758","1515.5","2018-07",,,,
"US1COPW0024","TWO BUTTES 12.0 NNW, CO US","37.7233","-102.4718","1268.6","2018-07",,,,
"USC00055446","MAYBELL, CO US","40.5158","-108.0947","1811.7","2018-07","32.5",",,,7","10.3",",,,7"
"USR0000CSAN","SANBORN PARK COLORADO, CO US","38.1917","-108.2167","2417.1","2018-07","29.9",",,,U","12.3",",,,U"
"USC00421759","COTTONWOOD WEIR, UT US","40.6189","-111.7836","1519.7","2018-07","35.0",",,,7","22.4",",,,7"
"US1COAR0164","CENTENNIAL 3.7 W, CO US","39.6055","-104.9359","1686.2","2018-07",,,,
"USC00053261","GEORGETOWN, CO US","39.7052","-105.6996","2596.9","2018-07","26.2",",,,7","9.6",",,,7"
"USR0000CSAL","SALTER COLORADO, CO US","37.6511","-108.5364","2484.1","2018-07","27.7",",,,U","10.8",",,,U"
"US1COGN0066","CRESTED BUTTE 1.9 NNE, CO US","38.8947","-106.9685","2822.4","2018-07",,,,
"US1NMDA0136","LAS CRUCES 0.6 SW, NM US","32.3305","-106.7637","1229.0","2018-07",,,,
"USC00427064","PROVO BYU, UT US","40.2458","-111.6508","1392.9","2018-07","37.1",",,,7","18.9",",,,7"
"US1NMDA0138","LAS CRUCES 3.1 NNE, NM US","32.3747","-106.7298","1311.9","2018-07",,,,
"US1UTSL0109","SALT LAKE CITY 4.1 ESE, UT US","40.7619","-111.8545","1399.3","2018-07",,,,
"USC00293592","GOLDEN, NM US","35.2655","-106.2144","2042.2","2018-07",,,,
"US1COPW0027","TWO BUTTES 13.7 NNW, CO US","37.7484","-102.4745","1270.7","2018-07",,,,
"US1COPW0026","TWO BUTTES 11.8 N, CO US","37.7298","-102.4268","1249.1","2018-07",,,,
"US1NMGR0051","TYRONE 0.1 ESE, NM US","32.7093","-108.2999","1756.6","2018-07",,,,
"US1COLP0008","DURANGO 4.9 ESE, CO US","37.2584","-107.793","2171.1","2018-07",,,,
"US1NMBR0149","ALBUQUERQUE 5.0 NE, NM US","35.1729","-106.5673","1625.5","2018-07",,,,
"US1NMGR0058","SILVER CITY 5.3 NE, NM US","32.8374","-108.2018","2008.6","2018-07",,,,
"US1NMBR0148","ALBUQUERQUE 1.7 SSE, NM US","35.0944","-106.6123","1572.8","2018-07",,,,
"US1NMGR0057","SILVER CITY 11.0 NW, NM US","32.904","-108.3902","1824.8","2018-07",,,,
"USC00422607","ESKDALE, UT US","39.1077","-113.9533","1517.9","2018-07","35.6",",,,7","16.6",",,,7"
"USC00028214","STEWART MOUNTAIN DAM, AZ US","33.5575","-111.5358","433.4","2018-07",,,,
"US1NMGR0055","GILA 0.1 NNE, NM US","32.9661","-108.5769","1389.9","2018-07",,,,
"US1NMGR0053","CLIFF 2.4 NE, NM US","32.988","-108.5831","1390.8","2018-07",,,,
"USC00029542","WUPATKI NM, AZ US","35.5247","-111.3702","1496.0","2018-07","35.6","2,,,7","20.4","2,,,7"
"USC00057656","SILVERTON, CO US","37.8088","-107.6633","2830.1","2018-07",,,,
"US1COEP0271","BLACK FOREST 4.7 WSW, CO US","39.0139","-104.7449","2184.8","2018-07",,,,
"USC00426181","NEW HARMONY, UT US","37.4637","-113.2896","1574.9","2018-07","33.3",",,,7","15.9",",,,7"
"USC00291389","CANJILON R S, NM US","36.4819","-106.4402","2386.0","2018-07",,,,
"US1COPK0088","LAKE GEORGE 1.1 SE, CO US","38.9693","-105.355","2463.1","2018-07",,,,
"USS0005J46S","HIGH LONESOME, CO US","40.04","-105.75","3237.0","2018-07","21.6",",,,T","9.4",",,,T"
"USC00056320","PARADOX 2 N, CO US","38.3897","-108.9494","1660.2","2018-07","36.2",",,,7","15.6",",,,7"
"US1COJF0063","GOLDEN 4.8 NW, CO US","39.7866","-105.2811","2293.0","2018-07",,,,
"US1COLP0042","BAYFIELD 0.3 N, CO US","37.2379","-107.5949","2134.5","2018-07",,,,
"US1COJF0061","CHATFIELD DAM 2 NW, CO US","39.581","-105.0762","1702.0","2018-07",,,,
"USC00058501","TWIN LAKES RESERVOIR, CO US","39.09419","-106.35064","2815.1","2018-07","24.8",",,,7","5.5",",,,7"
"US1COGL0020","ROLLINSVILLE 2.3 ESE, CO US","39.9034","-105.4628","2664.0","2018-07",,,,
"US1NMGR0084","SILVER CITY 2.6 SE, NM US","32.7539","-108.2394","1793.7","2018-07",,,,
"US1COLP0035","BAYFIELD 7.0 N, CO US","37.3352","-107.6082","2499.4","2018-07",,,,
"US1NMGR0081","HACHITA 5.9 SE, NM US","31.8644","-108.2425","1486.5","2018-07",,,,
"USS0010K06S","TIMBERLINE, UT US","39.68","-110.43","2662.7","2018-07","25.6",",,,T","9.9",",,,T"
"US1NMGR0082","SEPAR 5.7 SE, NM US","32.1279","-108.3828","1343.6","2018-07",,,,
"US1COGL0025","ROLLINSVILLE 1.7 E, CO US","39.9231","-105.4688","2560.0","2018-07",,,,
"US1NMGR0080","MIMBRES 8.3 NNW, NM US","32.9664","-108.0378","1977.2","2018-07",,,,
"US1NMDA0144","LAS CRUCES 2.0 WSW, NM US","32.3272","-106.7892","1186.9","2018-07",,,,
"USS0005J45S","SAWTOOTH, CO US","40.14","-105.59","2932.2","2018-07","21.9",",,,T","8.4",",,,T"
"USR0000BKTL","BLACKTAIL UTAH, UT US","40.2692","-110.5622","2246.1","2018-07","29.4",",,,U","16.7",",,,U"
"USS0005K30S","FOOL CREEK, CO US","39.87","-105.87","3398.5","2018-07","20.5",",,,T","7.3",",,,T"
"USR0000MCCO","MCCOOK RIDGE, UT US","39.6339","-109.2658","2133.6","2018-07","31.8",",,,U","16.0",",,,U"
"US1NMBR0159","ALBUQUERQUE 7.8 SW, NM US","35.0529","-106.7379","1565.5","2018-07",,,,
"US1NMBR0156","EDGEWOOD 6.3 NW, NM US","35.148","-106.255","2110.1","2018-07",,,,
"US1NMGR0085","BAYARD 5.8 N, NM US","32.8433","-108.1412","1982.7","2018-07",,,,
"USC00054135","HOURGLASS RESERVOIR, CO US","40.583","-105.632","2901.7","2018-07","24.0",",,,7","5.9",",,,7"
"USC00293577","GLENWOOD, NM US","33.3216","-108.8794","1440.2","2018-07","32.6","2,,,7","15.1","2,,,7"
"US1COEP0285","FOUNTAIN 2.8 SSE, CO US","38.6273","-104.6802","1649.0","2018-07",,,,
"US1COPK0078","FAIRPLAY 2.7 SW, CO US","39.2016","-106.0412","3115.1","2018-07",,,,
"USC00294426","JORNADA EXPERIMENTAL RANGE, NM US","32.6161","-106.7404","1316.1","2018-07","35.4",",,,7","18.8",",,,7"
"USS0007J04S","CROSHO, CO US","40.17","-107.06","2773.7","2018-07","25.0",",,,T","9.0","1,,,T"
"US1COJF0053","CONIFER 3.2 SW, CO US","39.494","-105.3497","2585.3","2018-07",,,,
"US1COGL0010","BLACK HAWK 2.9 NNE, CO US","39.8382","-105.4783","2824.0","2018-07",,,,
"US1COLP0022","DURANGO 0.8 SSW, CO US","37.2736","-107.8749","2019.0","2018-07",,,,
"US1COLP0026","HESPERUS 13.3 SSW, CO US","37.1112","-108.1445","2037.9","2018-07",,,,
"USS0007J03S","BEAR RIVER, CO US","40.06","-107.01","2767.6","2018-07","24.5",",,,T","8.6","1,,,T"
"US1NMDA0154","UNIVERSITY PARK 4.7 S, NM US","32.2106","-106.7622","1174.1","2018-07",,,,
"US1COGL0015","ROLLINSVILLE 0.1 N, CO US","39.9216","-105.4997","2635.9","2018-07",,,,
"USR0000AHPI","HOPI ARIZONA, AZ US","35.8103","-110.2069","1885.5","2018-07","35.2",",,,U","16.7",",,,U"
"US1COGL0017","ROLLINSVILLE 1.1 SSW, CO US","39.9065","-105.5111","2681.3","2018-07",,,,
"US1NMBR0167","TIJERAS 9.1 SE, NM US","34.995","-106.2619","2201.6","2018-07",,,,
"US1NMGR0076","CLIFF 1.8 WSW, NM US","32.9555","-108.6423","1438.7","2018-07",,,,
"US1NMBR0168","ALBUQUERQUE 5.0 E, NM US","35.1224","-106.5355","1684.0","2018-07",,,,
"US1NMGR0077","SILVER CITY 2.7 SE, NM US","32.7512","-108.2407","1799.2","2018-07",,,,
"USR0000AHPK","HOPKINS ARIZONA, AZ US","31.6753","-110.88","2170.2","2018-07","27.9",",,,U","17.0",",,,U"
"US1NMBR0165","ALBUQUERQUE 5.0 WSW, NM US","35.0863","-106.7039","1553.3","2018-07",,,,
"US1NMGR0074","SILVER CITY 2.2 NW, NM US","32.8045","-108.2954","1846.2","2018-07",,,,
"US1NMBR0166","ALBUQUERQUE 7.8 E, NM US","35.1295","-106.4878","1860.2","2018-07",,,,
"US1COJF0402","KEN CARYL 2.9 NNW, CO US","39.6126","-105.137","1768.8","2018-07",,,,
"US1AZPN0006","QUEEN CREEK 8.2 ESE, AZ US","33.1957","-111.5127","469.4","2018-07",,,,
"USC00050128","ALAMOSA 1 E, CO US","37.4702","-105.8569","2298.2","2018-07","29.6",",,,7","9.8",",,,7"
"US1COLR0464","LOV 5.0 S, CO US","40.3385","-105.0895","1567.0","2018-07",,,,
"US1COLA0033","AGUILAR 7.2 WSW, CO US","37.3593","-104.7734","2200.0","2018-07",,,,
"USC00297585","ROSEBUD 7 NW, NM US","35.9027","-103.5272","1456.9","2018-07","32.7",",,,7","16.9",",,,7"
"US1COWE0163","GREELEY 5.2 SW, CO US","40.3575","-104.7752","1449.0","2018-07",,,,
"USR0000CWWC","WILLOW CREEK COLORADO, CO US","40.3517","-106.2153","2962.7","2018-07","23.3",",,,U","9.9",",,,U"
"US1AZYV0138","PRESCOTT 4.3 NW, AZ US","34.5912","-112.5025","1649.6","2018-07",,,,
"US1AZPN0008","APACHE JUNCTION 5.3 ESE, AZ US","33.3629","-111.4698","535.5","2018-07",,,,
"USC00020380","ARIVACA, AZ US","31.57669","-111.31709","1112.2","2018-07",,,,
"USR0000CSOD","SODA CREEK COLORADO, CO US","39.56","-105.9864","2926.1","2018-07","24.3",",,,U","6.6",",,,U"
"US1AZYV0136","CAMP VERDE 3.2 NNW, AZ US","34.5997","-111.8778","952.5","2018-07",,,,
"US1AZYV0135","COTTONWOOD 1.8 SE, AZ US","34.7112","-111.977","989.4","2018-07",,,,
"US1COPK0015","FAIRPLAY 2.7 WNW, CO US","39.2323","-106.0516","3168.1","2018-07",,,,
"US1NMGR0009","SILVER CITY 13.4 WSW, NM US","32.6854","-108.467","1801.1","2018-07",,,,
"USW00093141","PRICE CARBON CO AIRPORT, UT US","39.60917","-110.75472","1804.7","2018-07","34.3",",,,W","17.6",",,,W"
"US1NMGR0006","SILVER CITY 2.7 NNW, NM US","32.8188","-108.2837","1884.9","2018-07",,,,
"US1COLR0472","LOV 3.4 S, CO US","40.365","-105.1006","1549.9","2018-07",,,,
"USC00051443","CEDAREDGE 3 E, CO US","38.90435","-107.89125","2084.2","2018-07","31.6",",,,7","16.7",",,,7"
"USR0000CBLA","BLACK CANYON COLORADO, CO US","38.5428","-107.6869","2609.1","2018-07","30.1",",,,U","12.4",",,,U"
"US1CODN0183","DENVER 5.1 ENE, CO US","39.758","-104.874","1617.0","2018-07",,,,
"USR0000CFTC","FORT CARSON COLORADO, CO US","38.6586","-104.8539","2042.2","2018-07","29.8",",,,U","15.4",",,,U"
"USR0000CBLU","BLUE PARK COLORADO, CO US","37.7978","-106.7792","3139.4","2018-07","22.3",",,,U","4.9",",,,U"
"US1NMRV0022","ELIDA 9.1 S, NM US","33.8129","-103.647","1357.3","2018-07",,,,
"US1AZYV0142","PRESCOTT 1.1 SW, AZ US","34.5275","-112.4734","1664.2","2018-07",,,,
"US1NMRV0024","CAUSEY 11.0 S, NM US","33.7068","-103.1231","1231.1","2018-07",,,,
"US1COKC0050","LIBERTY 15 SW, CO US","39.4915","-102.8229","1382.0","2018-07",,,,
"USC00053629","GROSS RESERVOIR, CO US","39.9363","-105.3502","2429.3","2018-07","26.0",",,,7","10.0",",,,7"
"US1COWE0171","GREELEY 2.6 W, CO US","40.4005","-104.7475","1477.1","2018-07",,,,
"USR0000CBLK","BLACK MOUNTAIN COLORADO, CO US","37.8617","-105.2842","2737.7","2018-07","25.6",",,,U","12.3",",,,U"
"USC00291813","CIMARRON 4 SW, NM US","36.4661","-104.9456","1993.4","2018-07","30.4",",,,7","12.3",",,,7"
"USW00093139","PAYSON, AZ US","34.2326","-111.3446","1478.3","2018-07","33.3",",,,7","17.6",",,,7"
"US1NMRV0026","CAUSEY 13.4 SW, NM US","33.7314","-103.2849","1274.7","2018-07",,,,
"US1NMRV0028","PORTALES 2.9 ESE, NM US","34.1651","-103.2991","1214.9","2018-07",,,,
"US1AZPN0025","FLORENCE 9.1 NW, AZ US","33.108","-111.5072","465.4","2018-07",,,,
"US1CODN0179","DENVER 1.8 WSW, CO US","39.7155","-104.9914","1605.1","2018-07",,,,
